"visitnumber","visitid","visitstarttime","date","fullvisitorid","channelgrouping","socialengagementtype","pageviews","unit_price"
1,1495316322,1495316322,"2017-05-20",8.603919657158136E+18,"Direct","Not Socially Engaged",6,13980000
1,1498749250,1498749250,"2017-06-29",4.987942690684808E+18,"Organic Search","Not Socially Engaged",8,6990000
5,1498060917,1498060917,"2017-06-21",6.823522365046814E+18,"Referral","Not Socially Engaged",8,11190000
83,1496080212,1496080212,"2017-05-29",3.148617623907142E+18,"Social","Not Socially Engaged",1,0
1,1494654192,1494654192,"2017-05-12",9.767983077361596E+18,"Social","Not Socially Engaged",1,0
1,1494630773,1494630773,"2017-05-12",9.011644218710249E+18,"Social","Not Socially Engaged",1,0
3,1500755465,1500755465,"2017-07-22",3.0074357829525617E+18,"Social","Not Socially Engaged",1,0
2,1496229891,1496229891,"2017-05-31",8.265465602742452E+18,"Social","Not Socially Engaged",2,0
1,1500350621,1500350621,"2017-07-17",7.021309398283681E+18,"Organic Search","Not Socially Engaged",1,0
1,1501129407,1501129407,"2017-07-26",1.4503124840549498E+17,"Organic Search","Not Socially Engaged",1,0
1,1498895552,1498895552,"2017-07-01",4.549064754853551E+17,"Direct","Not Socially Engaged",1,0
1,1500357418,1500357418,"2017-07-17",8.716832181057439E+18,"Organic Search","Not Socially Engaged",1,0
2,1500127662,1500127662,"2017-07-15",6.644742795147264E+18,"Organic Search","Not Socially Engaged",1,0
1,1499914807,1499914807,"2017-07-12",3.335577303133393E+17,"Organic Search","Not Socially Engaged",1,0
6,1501607598,1501607598,"2017-08-01",2.641011108218833E+17,"Referral","Not Socially Engaged",1,0
1,1497471268,1497471268,"2017-06-14",3.7803420650380006E+18,"Direct","Not Socially Engaged",1,0
2,1496067455,1496067455,"2017-05-29",7.355742798612953E+18,"Direct","Not Socially Engaged",1,0
1,1498429232,1498429232,"2017-06-25",2.8896064352910355E+17,"Direct","Not Socially Engaged",1,0
1,1498832529,1498832529,"2017-06-30",8.063881350378008E+18,"Direct","Not Socially Engaged",1,0
2,1499053930,1499053930,"2017-07-02",5.84749869048115E+18,"Direct","Not Socially Engaged",1,0
1,1494993169,1494993169,"2017-05-16",5.185975956971854E+18,"Organic Search","Not Socially Engaged",1,0
1,1494873855,1494873855,"2017-05-15",5.32014706134674E+18,"Organic Search","Not Socially Engaged",1,0
1,1494950795,1494950795,"2017-05-16",9.922257869297007E+18,"Organic Search","Not Socially Engaged",1,0
1,1494965862,1494965862,"2017-05-16",1.3115349085350052E+18,"Organic Search","Not Socially Engaged",1,0
1,1494967459,1494967459,"2017-05-16",8.654422301469513E+18,"Organic Search","Not Socially Engaged",1,0
1,1494871827,1494871827,"2017-05-15",2.5031351737158973E+18,"Organic Search","Not Socially Engaged",1,0
2,1494885766,1494885766,"2017-05-15",6.545773349490063E+18,"Organic Search","Not Socially Engaged",1,0
1,1494874788,1494874788,"2017-05-15",6.21839199381315E+18,"Organic Search","Not Socially Engaged",1,0
1,1494952217,1494952217,"2017-05-16",1.4268647933236045E+18,"Organic Search","Not Socially Engaged",1,0
1,1494946468,1494946468,"2017-05-16",9.214206507132082E+18,"Organic Search","Not Socially Engaged",1,0
2,1494949699,1494949699,"2017-05-16",6.43667576885133E+17,"Organic Search","Not Socially Engaged",1,0
1,1494972101,1494972101,"2017-05-16",4.1404892714163425E+18,"Organic Search","Not Socially Engaged",1,0
1,1494943156,1494943156,"2017-05-16",7.910369734776396E+17,"Organic Search","Not Socially Engaged",1,0
1,1494878662,1494878662,"2017-05-15",3.454711809311834E+18,"Organic Search","Not Socially Engaged",1,0
3,1494967133,1494967133,"2017-05-16",8.446942832862245E+18,"Organic Search","Not Socially Engaged",1,0
4,1494909298,1494909298,"2017-05-15",9.801983569825698E+18,"Organic Search","Not Socially Engaged",1,0
